Date,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
27-04-2021,Delhi,-,-,940930,14628,1047916
27-04-2021,Goa,-,-,63483,1055,79798
27-04-2021,Gujarat,-,-,382426,6486,510373
27-04-2021,Haryana,-,-,352515,3842,435823
27-04-2021,Himachal Pradesh,-,-,73504,1363,89193
27-04-2021,Jammu and Kashmir,-,-,140117,2172,162890
27-04-2021,Jharkhand,-,-,155669,2115,207288
27-04-2021,Karnataka,-,-,1073257,14627,1368945
27-04-2021,Kerala,-,-,1189267,5138,1427545
27-04-2021,Ladakh,-,-,11507,138,13502
27-04-2021,Lakshadweep,-,-,1067,1,2247
27-04-2021,Madhya Pradesh,-,-,414235,5221,511990
27-04-2021,Maharashtra,-,-,3601796,65284,4343727
27-04-2021,Manipur,-,-,29267,390,30567
27-04-2021,Meghalaya,-,-,14560,161,16124
27-04-2021,Mizoram,-,-,4731,13,5513
27-04-2021,Nagaland,-,-,12413,98,13238
27-04-2021,Odisha,-,-,367111,1997,414056
27-04-2021,Puducherry,-,-,45758,758,54026
27-04-2021,Punjab,-,-,286942,8530,345366
27-04-2021,Rajasthan,-,-,380550,3685,530875
27-04-2021,Sikkim,-,-,6261,140,7329
27-04-2021,Tamil Nadu,-,-,976876,13651,1097672
27-04-2021,Telengana,-,-,340590,2094,411905
27-04-2021,Tripura,-,-,33514,394,34738
27-04-2021,Uttarakhand,-,-,115615,2213,156859
27-04-2021,Uttar Pradesh,-,-,804563,11414,1120176
27-04-2021,West Bengal,-,-,653984,11009,759942
26-04-2021,Andaman and Nicobar Islands,-,-,5467,66,5665
26-04-2021,Andhra Pradesh,-,-,936143,7685,1033560
26-04-2021,Arunachal Pradesh,-,-,16968,58,17607
26-04-2021,Assam,-,-,219516,1200,237533
26-04-2021,Bihar,-,-,314286,2155,403596
26-04-2021,Chandigarh,-,-,33021,435,38692
26-04-2021,Chhattisgarh,-,-,521217,7310,652362
26-04-2021,Dadra and Nagar Haveli and Daman and Diu,-,-,4577,4,6580
26-04-2021,Delhi,-,-,918875,14248,1027715
26-04-2021,Goa,-,-,62771,1017,77477
26-04-2021,Gujarat,-,-,374699,6328,496033
26-04-2021,Haryana,-,-,346304,3767,424319
26-04-2021,Himachal Pradesh,-,-,72588,1336,87501
26-04-2021,Jammu and Kashmir,-,-,139050,2147,160755
26-04-2021,Jharkhand,-,-,151651,1991,201747
26-04-2021,Karnataka,-,-,1062594,14426,1339201
26-04-2021,Kerala,-,-,1181324,5110,1405655
26-04-2021,Ladakh,-,-,11192,138,13357
26-04-2021,Lakshadweep,-,-,947,1,2126
26-04-2021,Madhya Pradesh,-,-,402623,5133,499304
26-04-2021,Maharashtra,-,-,3530060,64760,4295027
26-04-2021,Manipur,-,-,29231,385,30421
26-04-2021,Meghalaya,-,-,14446,160,15994
26-04-2021,Mizoram,-,-,4671,13,5410
26-04-2021,Nagaland,-,-,12406,98,13183
26-04-2021,Odisha,-,-,362931,1988,407457
26-04-2021,Puducherry,-,-,45243,748,53279
26-04-2021,Punjab,-,-,282504,8432,339090
26-04-2021,Rajasthan,-,-,374134,3601,514437
26-04-2021,Sikkim,-,-,6234,138,7306
26-04-2021,Tamil Nadu,-,-,963251,13557,1081988
26-04-2021,Telengana,-,-,334144,2042,401783
26-04-2021,Tripura,-,-,33470,394,34627
26-04-2021,Uttarakhand,-,-,113791,2146,151801
26-04-2021,Uttar Pradesh,-,-,777844,11165,1086625
26-04-2021,West Bengal,-,-,644209,10941,743950
25-04-2021,Andaman and Nicobar Islands,-,-,5410,66,5614
25-04-2021,Andhra Pradesh,-,-,931839,7616,1020926
25-04-2021,Arunachal Pradesh,-,-,16940,56,17546
25-04-2021,Assam,-,-,218958,1186,235689
25-04-2021,Bihar,-,-,306753,2087,390801
25-04-2021,Chandigarh,-,-,32608,433,37943
25-04-2021,Chhattisgarh,-,-,509622,7111,639696
25-04-2021,Dadra and Nagar Haveli and Daman and Diu,-,-,4471,4,6379
25-04-2021,Delhi,-,-,897804,13898,1004782
25-04-2021,Goa,-,-,62113,993,75184
25-04-2021,Gujarat,-,-,367972,6171,481737
25-04-2021,Haryana,-,-,340247,3703,413334
25-04-2021,Himachal Pradesh,-,-,71423,1304,86138
25-04-2021,Jammu and Kashmir,-,-,138184,2126,158374
25-04-2021,Jharkhand,-,-,148364,1888,195844
25-04-2021,Karnataka,-,-,1055612,14283,1304397
25-04-2021,Kerala,-,-,1173202,5080,1377186
25-04-2021,Ladakh,-,-,11129,136,13237
25-04-2021,Lakshadweep,-,-,917,1,1962
25-04-2021,Madhya Pradesh,-,-,391299,5041,485703
25-04-2021,Maharashtra,-,-,3468610,63928,4228836
25-04-2021,Manipur,-,-,29193,383,30281
